title,category,matched_title,year,director,poster_url,status
더 글로리,drama,더 글로리,2022,안길호,https://image.tmdb.org/t/p/w500/v2PhLwwWkeodAuF1ePtlIn5m2VI.jpg,ok
마이 데몬,drama,마이데몬,2023,김장한;Kwon Da-som,https://image.tmdb.org/t/p/w500/hHCFsQaVW7oeh0MfZTL2A4c5dRS.jpg,ok
맨 끝줄 소년,drama,맨 끝줄 소년,2026,김규태,https://image.tmdb.org/t/p/w500/xSSp3JHoZFxc69aeFtc9JTgVMeu.jpg,ok
멋진 신세계,drama,멋진 신세계,2026,Han Tae-sob,https://image.tmdb.org/t/p/w500/u2cX3CVzUZLIGVwd9HB7bUhE7OP.jpg,ok
모범택시,drama,모범택시,2021,박준우;Lee Dan;강보승,https://image.tmdb.org/t/p/w500/qDLhCBbl7eUSesMSV9rYqHR8qwW.jpg,ok
미지의 서울,drama,미지의 서울,2025,박신우,https://image.tmdb.org/t/p/w500/woGYRE5vChxqUqTBJJaOhO9Cqk6.jpg,ok
반짝이는 워터멜론,drama,반짝이는 워터멜론,2023,Son Jeong-hyeon,https://image.tmdb.org/t/p/w500/fD1WFaH8Bo4g6SqAOwCQg3Ry6zv.jpg,ok
별에서 온 그대,drama,별에서 온 그대,2013,오충환;장태유,https://image.tmdb.org/t/p/w500/x2PJLhpjlJpAflUpzcBnzDaNOmE.jpg,ok
비밀의 숲,drama,비밀의 숲,2017,안길호;박현석,https://image.tmdb.org/t/p/w500/4NCHVr4BiuZzbqoRaLMTbmKIfyR.jpg,ok
사랑의 불시착,drama,사랑의 불시착,2019,김희원;이정효,https://image.tmdb.org/t/p/w500/mvy18bPg93JNLwTQHHP2ZjPYP0A.jpg,ok
사이코지만 괜찮아,drama,사이코지만 괜찮아,2020,박신우,https://image.tmdb.org/t/p/w500/HKVk1KiNYzIiRQJQOMZfSeZYvC.jpg,ok
선재 업고 튀어,drama,선재 업고 튀어,2024,김태엽;윤종호,https://image.tmdb.org/t/p/w500/9gEp7Rs43Fi3eEEBsIMc8xGewNp.jpg,ok
